Gene,NSC_GFP,Neu_GFP
Ap2a1,Euchromatin,Euchromatin
Ap2b1,Unknown,Unknown
Ap2m1,Euchromatin,Unknown
Ap2s1,Euchromatin,Euchromatin
Ap3d1,Euchromatin,Euchromatin
Ap3s1,Unknown,Unknown
Ap3s2,Euchromatin,Unknown
Ap4m1,Euchromatin,Euchromatin
Ap4s1,Unknown,Unknown
Ap5s1,Euchromatin,Unknown
Ap5z1,Euchromatin,Euchromatin
Apaf1,Unknown,Unknown
Apba1,Unknown,Unknown
Apbb3,Euchromatin,Unknown
Apc,Unknown,Unknown
Apex1,Unknown,Unknown
Aph1c,Unknown,Unknown
Apln,Unknown,Unknown
Aplp1,Euchromatin,Euchromatin
Apoh,Unknown,Unknown
Apol7d,Unknown,Unknown
App,Unknown,Unknown
Appbp2os,Unknown,Unknown
Aptx,Unknown,Unknown
Aqp5,Euchromatin,Unknown
Arc,Euchromatin,Unknown
Arf2,Euchromatin,Unknown
Arf3,Euchromatin,Euchromatin
Arf4,Unknown,Unknown
Arf6,Unknown,Unknown
Arfgap1,Euchromatin,Unknown
Arfgap2,Euchromatin,Euchromatin
Arfgef1,Unknown,Unknown
Arfip1,Unknown,Unknown
Arg2,Unknown,Unknown
Arhgap11a,Unknown,Unknown
Arhgap12,Unknown,Unknown
Arhgap17,Unknown,Unknown
Arhgap19,Euchromatin,Euchromatin
Arhgap26,Unknown,Unknown
Arhgap28,Unknown,Unknown
Arhgap35,Euchromatin,Unknown
Arhgap39,Euchromatin,Unknown
Arhgap5,Heterochromatin,Heterochromatin
Arhgef1,Euchromatin,Euchromatin
Arhgef12,Euchromatin,Unknown
Arhgef17,Euchromatin,Euchromatin
Arhgef25,Euchromatin,Euchromatin
Arhgef4,Euchromatin,Unknown
Arhgef40,Unknown,Unknown
Arid1a,Euchromatin,Euchromatin
Arid2,Unknown,Unknown
Arid3b,Unknown,Unknown
Arid4a,Unknown,Unknown
Arid5a,Euchromatin,Euchromatin
Arih1,Unknown,Unknown
Ark2n,Unknown,Unknown
Arl14ep,Unknown,Unknown
Arl15,Unknown,Unknown
Arl2,Euchromatin,Euchromatin
Arl2bp,Unknown,Unknown
Arl6,Unknown,Unknown
Arl6ip1,Unknown,Unknown
Arl6ip4,Euchromatin,Euchromatin
Armc2,Unknown,Unknown
Armc7,Euchromatin,Euchromatin
Armcx4,Unknown,Unknown
Arnt,Unknown,Unknown
Arpc1b,Euchromatin,Euchromatin
Arpc5l,Euchromatin,Unknown
Arpp19,Unknown,Unknown
Arpp21,Unknown,Unknown
Arrb2,Euchromatin,Unknown
Arrdc1,Euchromatin,Euchromatin
Arrdc2,Euchromatin,Euchromatin
Arrdc3,Unknown,Unknown
Arrdc4,Unknown,Unknown
Arsi,Euchromatin,Euchromatin
Arx,Unknown,Unknown
Asb1,Euchromatin,Unknown
Asb8,Unknown,Unknown
Ascc3,Heterochromatin,Unknown
Ascl2,Euchromatin,Unknown
Ascl5,Euchromatin,Unknown
Asdurf,Unknown,Unknown
Asf1a,Unknown,Unknown
Asf1b,Euchromatin,Unknown
Asic2,Unknown,Unknown
Asic4,Euchromatin,Euchromatin
Asmt,Euchromatin,Euchromatin
Aspdh,Euchromatin,Euchromatin
Asph,Unknown,Unknown
Asphd1,Euchromatin,Euchromatin
Asxl1,Unknown,Unknown
Asxl3,Heterochromatin,Unknown
Atad2,Unknown,Unknown
Atad2b,Unknown,Unknown
Ate1,Unknown,Unknown
Atf2,Heterochromatin,Heterochromatin
Atf3,Unknown,Unknown
Atf4,Euchromatin,Euchromatin
Atf5,Euchromatin,Unknown
Atf7,Unknown,Unknown
Atf7ip,Unknown,Unknown
Atg10,Unknown,Unknown
Atg101,Euchromatin,Euchromatin
Atg14,Unknown,Euchromatin
Atg16l1,Unknown,Unknown
Atg16l2,Euchromatin,Euchromatin
Atg2a,Euchromatin,Euchromatin
Atg4d,Euchromatin,Euchromatin
Atg7,Unknown,Unknown
Atg9b,Euchromatin,Euchromatin
Atl3,Unknown,Unknown
Atm,Heterochromatin,Unknown
Atosa,Unknown,Unknown
Atp11a,Euchromatin,Unknown
Atp11b,Unknown,Unknown
Atp12a,Unknown,Unknown
Atp1a1,Unknown,Unknown
Atp2a2,Euchromatin,Unknown
Atp2b1,Unknown,Unknown
Atp2c1,Unknown,Unknown
Atp5f1b,Unknown,Unknown
Atp5f1d,Unknown,Unknown
Atp5f1e,Unknown,Unknown
Atp5mc1,Unknown,Unknown
Atp5mc2,Unknown,Unknown
Atp5mc3,Unknown,Unknown
Atp5pb,Unknown,Unknown
Atp5pf,Unknown,Unknown
Atp6ap2,Unknown,Unknown
Atp6v0b,Euchromatin,Euchromatin
Atp6v0c,Euchromatin,Euchromatin
Atp6v0d1,Euchromatin,Unknown
Atp6v1a,Unknown,Unknown
Atp6v1e1,Euchromatin,Unknown
Atp6v1g2,Euchromatin,Euchromatin
Atp6v1h,Unknown,Unknown
Atp7a,Unknown,Unknown
Atpaf2,Unknown,Unknown
Atxn1,Unknown,Unknown
Atxn2l,Unknown,Euchromatin
Atxn3,Unknown,Unknown
Atxn7l3,Euchromatin,Euchromatin
Atxn7l3b,Heterochromatin,Heterochromatin
Auh,Euchromatin,Unknown
Aup1,Euchromatin,Euchromatin
Auts2,Unknown,Unknown
Avl9,Unknown,Unknown
Avpi1,Euchromatin,Unknown
Azi2,Unknown,Unknown
Azin1,Unknown,Unknown
B230354K17Rik,Unknown,Unknown
B3galt6,Euchromatin,Euchromatin
B3gat1,Unknown,Unknown
B3gntl1,Unknown,Unknown
B4galnt1,Euchromatin,Euchromatin
B4galnt4,Euchromatin,Euchromatin
B4galt1,Euchromatin,Unknown
B4galt2,Euchromatin,Euchromatin
B4galt6,Unknown,Unknown
B4gat1,Euchromatin,Euchromatin
B930059L03Rik,Euchromatin,Euchromatin
B9d1,Euchromatin,Unknown
B9d2,Euchromatin,Euchromatin
BC004004,Euchromatin,Euchromatin
BC005624,Euchromatin,Euchromatin
BC031181,Unknown,Euchromatin
BC037704,Euchromatin,Unknown
BC049715,Unknown,Unknown
BC065397,Unknown,Unknown
Babam1,Euchromatin,Euchromatin
Babam2,Unknown,Unknown
Bad,Euchromatin,Euchromatin
Bag1,Euchromatin,Euchromatin
Bag6,Euchromatin,Euchromatin
