Gene,NSC_GFP,Neu_GFP
H2ac11,Unknown,Unknown
H2ac22,Unknown,Unknown
H2ac25,Unknown,Unknown
H2ac6,Unknown,Unknown
H2ac7,Unknown,Heterochromatin
H2ac8,Unknown,Heterochromatin
H2aj,Unknown,Unknown
H2ax,Euchromatin,Euchromatin
H2az1,Unknown,Unknown
H2az2,Euchromatin,Unknown
H2bc27,Unknown,Unknown
H3c4,Unknown,Heterochromatin
H3c6,Unknown,Heterochromatin
H3f3a,Euchromatin,Euchromatin
H3f3b,Euchromatin,Euchromatin
H4c1,Unknown,Unknown
H4c14,Unknown,Unknown
H4c16,Unknown,Unknown
H4c2,Unknown,Unknown
H4c3,Unknown,Unknown
H4c4,Unknown,Heterochromatin
H4c6,Unknown,Heterochromatin
H4c8,Unknown,Unknown
H4c9,Unknown,Unknown
Habp4,Unknown,Unknown
Hace1,Unknown,Euchromatin
Hadhb,Unknown,Unknown
Hagh,Unknown,Unknown
Hapstr1,Unknown,Unknown
Hars1,Unknown,Unknown
Hat1,Unknown,Unknown
Haus2,Unknown,Unknown
Haus3,Unknown,Unknown
Haus5,Euchromatin,Unknown
Haus6,Unknown,Euchromatin
Hbp1,Unknown,Unknown
Hbs1l,Unknown,Unknown
Hcfc1,Unknown,Unknown
Hcfc1r1,Euchromatin,Euchromatin
Hcrt,Euchromatin,Euchromatin
Hdac4,Euchromatin,Unknown
Hdac6,Unknown,Euchromatin
Hdac9,Unknown,Unknown
Hddc2,Heterochromatin,Unknown
Hdgf,Euchromatin,Unknown
Hdgfl2,Euchromatin,Euchromatin
Hdhd2,Unknown,Unknown
Hdlbp,Unknown,Unknown
Heatr1,Unknown,Unknown
Heatr5b,Unknown,Unknown
Heatr6,Unknown,Unknown
Hebp1,Euchromatin,Unknown
Heca,Unknown,Unknown
Hecw2,Unknown,Unknown
Helq,Unknown,Unknown
Herc2,Unknown,Unknown
Herpud2,Unknown,Unknown
Hes1,Euchromatin,Unknown
Hes3,Euchromatin,Euchromatin
Hes7,Euchromatin,Euchromatin
Hexd,Unknown,Unknown
Hexim1,Euchromatin,Unknown
Hexim2,Euchromatin,Unknown
Hey2,Unknown,Unknown
Hgs,Euchromatin,Euchromatin
Hhip,Unknown,Unknown
Hhipl1,Euchromatin,Unknown
Hibadh,Unknown,Unknown
Hic1,Euchromatin,Euchromatin
Hif1an,Euchromatin,Unknown
Hikeshi,Unknown,Unknown
Hilpda,Unknown,Unknown
Hinfp,Euchromatin,Euchromatin
Hint2,Euchromatin,Euchromatin
Hint3,Unknown,Unknown
Hip1,Euchromatin,Euchromatin
Hip1r,Euchromatin,Unknown
Hipk1,Unknown,Unknown
Hipk3,Unknown,Unknown
Hivep3,Unknown,Unknown
Hk2,Unknown,Unknown
Hlcs,Euchromatin,Unknown
Hlf,Euchromatin,Unknown
Hmg20b,Euchromatin,Euchromatin
Hmga1b,Euchromatin,Euchromatin
Hmgb1,Unknown,Unknown
Hmgb2,Unknown,Unknown
Hmgcr,Unknown,Unknown
Hmgcs1,Unknown,Unknown
Hmgn1,Euchromatin,Unknown
Hmgn3,Unknown,Unknown
Hmgn5,Unknown,Unknown
Hmox1,Euchromatin,Unknown
Hnrnpa0,Euchromatin,Euchromatin
Hnrnpa3,Unknown,Unknown
Hnrnpab,Euchromatin,Euchromatin
Hnrnpc,Euchromatin,Euchromatin
Hnrnpd,Unknown,Unknown
Hnrnpdl,Euchromatin,Euchromatin
Hnrnpf,Unknown,Unknown
Hnrnph1,Euchromatin,Unknown
Hnrnph2,Unknown,Unknown
Hnrnph3,Unknown,Unknown
Hnrnpk,Unknown,Unknown
Hnrnpl,Euchromatin,Euchromatin
Hnrnpll,Unknown,Unknown
Hnrnpm,Unknown,Unknown
Hnrnpu,Unknown,Unknown
Hnrnpul2,Unknown,Unknown
Homer1,Unknown,Euchromatin
Hook2,Euchromatin,Euchromatin
Hook3,Unknown,Unknown
Hoxd4,Euchromatin,Unknown
Hp1bp3,Euchromatin,Unknown
Hpca,Euchromatin,Unknown
Hpcal4,Euchromatin,Unknown
Hprt1,Unknown,Unknown
Hps1,Euchromatin,Unknown
Hr,Euchromatin,Euchromatin
Hrob,Euchromatin,Euchromatin
Hs2st1,Unknown,Unknown
Hs3st1,Unknown,Unknown
Hs6st1,Euchromatin,Unknown
Hsbp1,Euchromatin,Euchromatin
Hsd17b12,Unknown,Unknown
Hsdl2,Unknown,Unknown
Hsp90aa1,Euchromatin,Euchromatin
Hsp90ab1,Euchromatin,Euchromatin
Hspa12a,Euchromatin,Unknown
Hspa13,Heterochromatin,Heterochromatin
Hspa2,Unknown,Euchromatin
Hspa4,Unknown,Unknown
Hspa4l,Heterochromatin,Unknown
Hspa5,Euchromatin,Unknown
Hspa8,Unknown,Unknown
Hspa9,Unknown,Unknown
Hspb6,Euchromatin,Euchromatin
Hspd1,Unknown,Unknown
Hsph1,Unknown,Unknown
Htatsf1,Unknown,Unknown
Hus1,Unknown,Unknown
Huwe1,Heterochromatin,Heterochromatin
Hyal3,Euchromatin,Euchromatin
Hykk,Unknown,Unknown
Iba57,Euchromatin,Euchromatin
Ice1,Euchromatin,Unknown
Icmt,Euchromatin,Euchromatin
Id4,Unknown,Unknown
Idh1,Unknown,Unknown
Idh2,Euchromatin,Unknown
Idh3g,Euchromatin,Unknown
Ier3,Euchromatin,Euchromatin
Ier5,Euchromatin,Unknown
Ier5l,Euchromatin,Euchromatin
Iffo2,Euchromatin,Euchromatin
Ifitm10,Euchromatin,Euchromatin
Ifnar1,Unknown,Unknown
Ifngr1,Unknown,Unknown
Ifrd2,Euchromatin,Euchromatin
Ift25,Unknown,Unknown
Ift27,Euchromatin,Unknown
Ift52,Unknown,Unknown
Ift57,Unknown,Unknown
Ift70a1,Unknown,Unknown
Igf1r,Euchromatin,Unknown
Igf2bp3,Unknown,Euchromatin
Igfbp5,Unknown,Unknown
Igfbp7,Unknown,Unknown
Igflr1,Euchromatin,Euchromatin
Ighmbp2,Euchromatin,Euchromatin
Igsf9b,Unknown,Unknown
Il10rb,Euchromatin,Unknown
Il3ra,Unknown,Euchromatin
Il4i1b,Unknown,Unknown
Il6st,Unknown,Unknown
Ilf3,Euchromatin,Euchromatin
Ilrun,Euchromatin,Unknown
Ilvbl,Unknown,Unknown
Immp1l,Heterochromatin,Heterochromatin
Immt,Unknown,Unknown
Imp3,Euchromatin,Euchromatin
Imp4,Unknown,Unknown
Impdh2,Euchromatin,Euchromatin
Inava,Euchromatin,Unknown
Inca1,Euchromatin,Euchromatin
Incenp,Euchromatin,Unknown
Inf2,Euchromatin,Unknown
Ing1,Euchromatin,Euchromatin
Ing2,Unknown,Unknown
Ing3,Unknown,Unknown
Ing5,Euchromatin,Euchromatin
Inip,Unknown,Unknown
Inka1,Euchromatin,Euchromatin
Ino80,Unknown,Unknown
Ino80c,Euchromatin,Unknown
Inpp5a,Euchromatin,Unknown
Inpp5e,Euchromatin,Unknown
Inpp5f,Unknown,Unknown
Insig1,Euchromatin,Unknown
Insig2,Unknown,Unknown
Insm1,Unknown,Unknown
Ints1,Euchromatin,Euchromatin
Ints10,Unknown,Unknown
Ints11,Euchromatin,Unknown
Ints15,Unknown,Unknown
Ints3,Unknown,Unknown
Ints5,Euchromatin,Euchromatin
Ints6,Unknown,Unknown
Ints8,Unknown,Unknown
Intu,Unknown,Unknown
Invs,Unknown,Unknown
Ip6k1,Unknown,Unknown
Ip6k2,Unknown,Unknown
Ipmk,Euchromatin,Unknown
Ipo11,Unknown,Unknown
Ipo13,Euchromatin,Euchromatin
Ipo4,Euchromatin,Euchromatin
Ipo8,Unknown,Unknown
Iqcc,Euchromatin,Unknown
Iqce,Euchromatin,Euchromatin
Iqgap2,Euchromatin,Unknown
Iqsec3,Euchromatin,Unknown
Irak1bp1,Unknown,Unknown
Irak2,Euchromatin,Euchromatin
Irf2bp2,Euchromatin,Unknown
Irgq,Euchromatin,Euchromatin
Irs1,Unknown,Unknown
Islr2,Euchromatin,Unknown
Isoc1,Unknown,Unknown
Isoc2a,Euchromatin,Euchromatin
Ist1,Unknown,Unknown
Isyna1,Euchromatin,Euchromatin
Itfg2,Euchromatin,Unknown
Itga2b,Euchromatin,Euchromatin
Itga3,Euchromatin,Euchromatin
Itga5,Euchromatin,Unknown
Itga6,Unknown,Unknown
Itgb1bp1,Euchromatin,Unknown
Itm2b,Unknown,Unknown
Izumo4,Euchromatin,Euchromatin
Jade2,Euchromatin,Euchromatin
Jak1,Unknown,Unknown
Jam3,Unknown,Unknown
Jarid2,Unknown,Unknown
Jkamp,Unknown,Unknown
Jmjd4,Euchromatin,Unknown
Jmjd6,Euchromatin,Euchromatin
Josd1,Euchromatin,Euchromatin
Josd2,Euchromatin,Euchromatin
Jpt1,Euchromatin,Unknown
Jpt2,Unknown,Unknown
Jrk,Euchromatin,Euchromatin
Jun,Euchromatin,Unknown
Junb,Euchromatin,Euchromatin
Jund,Euchromatin,Euchromatin
Jup,Euchromatin,Euchromatin
Kank3,Euchromatin,Unknown
Kansl1,Unknown,Unknown
Kat5,Euchromatin,Euchromatin
Kat6b,Euchromatin,Unknown
Kat7,Euchromatin,Unknown
Katna1,Unknown,Unknown
Katnal1,Euchromatin,Unknown
Katnal2,Euchromatin,Unknown
Katnb1,Euchromatin,Unknown
Kazald1,Euchromatin,Unknown
Kbtbd12,Unknown,Unknown
Kbtbd4,Unknown,Unknown
Kbtbd8,Unknown,Unknown
Kcna1,Unknown,Unknown
Kcnab2,Euchromatin,Euchromatin
Kcnb1,Euchromatin,Euchromatin
Kcnb2,Unknown,Unknown
Kcng4,Euchromatin,Euchromatin
Kcnh1,Unknown,Unknown
Kcnh2,Euchromatin,Euchromatin
Kcnip2,Euchromatin,Unknown
Kcnn1,Euchromatin,Euchromatin
Kcnq1ot1,Unknown,Unknown
Kcns2,Unknown,Unknown
Kcns3,Unknown,Unknown
Kcnt1,Euchromatin,Euchromatin
Kctd1,Unknown,Unknown
Kctd15,Euchromatin,Unknown
Kctd18,Unknown,Unknown
Kctd20,Euchromatin,Euchromatin
Kctd5,Euchromatin,Unknown
Kctd7,Euchromatin,Unknown
Kctd9,Unknown,Unknown
Kdm1a,Euchromatin,Euchromatin
Kdm1b,Euchromatin,Unknown
Kdm2b,Euchromatin,Euchromatin
Kdm3a,Unknown,Heterochromatin
Kdm4b,Euchromatin,Euchromatin
Kdm4c,Unknown,Unknown
Kdm5a,Unknown,Unknown
Kdm5c,Unknown,Unknown
Kdm6a,Unknown,Unknown
Kdm6b,Euchromatin,Euchromatin
Kdr,Unknown,Unknown
Khdc4,Unknown,Unknown
Khdrbs2,Heterochromatin,Heterochromatin
Khk,Euchromatin,Unknown
Khsrp,Euchromatin,Euchromatin
Kif14,Unknown,Unknown
Kif18a,Heterochromatin,Unknown
Kif19a,Euchromatin,Euchromatin
Kif1b,Euchromatin,Unknown
Kif22,Euchromatin,Euchromatin
Kif23,Euchromatin,Unknown
Kif24,Unknown,Unknown
Kif26a,Euchromatin,Euchromatin
Kif3a,Unknown,Unknown
Kif3b,Euchromatin,Unknown
Kif5c,Unknown,Unknown
Kif7,Euchromatin,Euchromatin
Kifbp,Euchromatin,Euchromatin
Kifc1,Euchromatin,Unknown
Kit,Euchromatin,Unknown
Klc2,Euchromatin,Euchromatin
Klf10,Euchromatin,Unknown
Klf15,Euchromatin,Unknown
Klf16,Euchromatin,Euchromatin
Klf2,Euchromatin,Euchromatin
Klf3,Unknown,Unknown
Klf4,Unknown,Unknown
Klf6,Unknown,Unknown
Klf7,Unknown,Unknown
Klf9,Euchromatin,Unknown
Klhdc10,Euchromatin,Unknown
Klhdc2,Unknown,Unknown
Klhdc4,Euchromatin,Euchromatin
Klhdc8a,Euchromatin,Unknown
Klhdc8b,Euchromatin,Euchromatin
Klhdc9,Euchromatin,Unknown
Klhl12,Unknown,Unknown
Klhl15,Unknown,Unknown
Klhl18,Euchromatin,Unknown
Klhl21,Euchromatin,Euchromatin
Klhl24,Unknown,Unknown
Klhl25,Euchromatin,Unknown
Klhl9,Unknown,Unknown
Kmt5b,Unknown,Unknown
Knl1,Unknown,Unknown
Kpna1,Euchromatin,Unknown
Kpna3,Unknown,Unknown
Kpnb1,Euchromatin,Unknown
Kptn,Euchromatin,Euchromatin
Kremen2,Euchromatin,Euchromatin
Kri1,Euchromatin,Euchromatin
Krr1,Unknown,Unknown
Kti12,Unknown,Unknown
Kyat3,Unknown,Euchromatin
L3mbtl2,Euchromatin,Euchromatin
LTO1,Euchromatin,Euchromatin
Lama1,Unknown,Unknown
Lama5,Euchromatin,Euchromatin
Lamc1,Unknown,Unknown
Lamtor1,Euchromatin,Unknown
Lamtor5,Unknown,Unknown
Lancl2,Unknown,Unknown
Laptm4a,Euchromatin,Unknown
Large1,Unknown,Unknown
Larp1,Euchromatin,Unknown
Larp1b,Unknown,Unknown
Larp4b,Unknown,Unknown
Larp7,Unknown,Unknown
Lars2,Unknown,Unknown
Las1l,Unknown,Unknown
Lasp1,Euchromatin,Euchromatin
Lbr,Euchromatin,Euchromatin
Lca5l,Euchromatin,Unknown
Lclat1,Unknown,Unknown
Lcmt1,Unknown,Unknown
Lcorl,Unknown,Unknown
Ldhb,Unknown,Unknown
Lekr1,Unknown,Heterochromatin
Lemd2,Euchromatin,Euchromatin
Lemd3,Unknown,Unknown
Leprot,Unknown,Unknown
Lfng,Euchromatin,Euchromatin
Lgi3,Euchromatin,Unknown
Lgmn,Euchromatin,Unknown
Lgr4,Unknown,Unknown
Lhx2,Unknown,Unknown
Lif,Euchromatin,Euchromatin
Lig4,Unknown,Unknown
Limd2,Euchromatin,Unknown
Limk1,Euchromatin,Euchromatin
Lims1,Unknown,Unknown
Lin7c,Unknown,Unknown
Lins1,Unknown,Unknown
Lman1,Unknown,Unknown
Lman2,Euchromatin,Euchromatin
Lmbr1l,Euchromatin,Euchromatin
Lmbrd1,Unknown,Unknown
Lmf2,Euchromatin,Euchromatin
Lmna,Euchromatin,Euchromatin
Lmo1,Euchromatin,Unknown
Lmo4,Unknown,Unknown
Lmtk2,Euchromatin,Euchromatin
Lmx1a,Unknown,Unknown
Lnpep,Heterochromatin,Unknown
Lnx2,Euchromatin,Unknown
Lonp1,Euchromatin,Euchromatin
Loxl1,Euchromatin,Euchromatin
Lpar1,Unknown,Euchromatin
Lpcat3,Unknown,Euchromatin
Lpp,Unknown,Unknown
Lpxn,Heterochromatin,Heterochromatin
Lratd1,Unknown,Heterochromatin
Lrba,Unknown,Unknown
Lrch2,Unknown,Unknown
Lrg1,Euchromatin,Euchromatin
Lrif1,Unknown,Euchromatin
Lrig2,Unknown,Unknown
Lrpprc,Unknown,Unknown
Lrr1,Euchromatin,Unknown
Lrrc2,Euchromatin,Unknown
Lrrc24,Euchromatin,Euchromatin
Lrrc28,Unknown,Unknown
Lrrc3,Euchromatin,Euchromatin
Lrrc40,Heterochromatin,Heterochromatin
Lrrc58,Unknown,Unknown
Lrrc61,Euchromatin,Unknown
Lrrc8a,Euchromatin,Euchromatin
Lrrc8b,Unknown,Unknown
Lrrc8d,Euchromatin,Unknown
Lrriq3,Unknown,Unknown
Lrrtm1,Unknown,Unknown
Lrtm2,Euchromatin,Euchromatin
Lsg1,Unknown,Unknown
Lsm1,Unknown,Unknown
Lsm10,Euchromatin,Unknown
Lsm14b,Euchromatin,Euchromatin
Lsm4,Euchromatin,Euchromatin
Lsmem2,Euchromatin,Euchromatin
Lsr,Euchromatin,Euchromatin
Lss,Euchromatin,Euchromatin
Lta4h,Unknown,Unknown
Ltbp3,Euchromatin,Euchromatin
Ltn1,Unknown,Unknown
Ltv1,Unknown,Unknown
Luc7l,Unknown,Unknown
Luc7l2,Unknown,Unknown
Luzp1,Unknown,Unknown
Ly6e,Euchromatin,Euchromatin
Lyl1,Euchromatin,Unknown
Lypla2,Euchromatin,Euchromatin
Lyrm4,Unknown,Unknown
Lyrm7,Euchromatin,Unknown
Lyrm9,Euchromatin,Unknown
Lyst,Unknown,Unknown
M6pr,Unknown,Unknown
Maco1,Euchromatin,Euchromatin
Macrod2,Unknown,Unknown
Mad1l1,Euchromatin,Unknown
Mad2l1,Unknown,Unknown
Madd,Euchromatin,Unknown
Maea,Euchromatin,Unknown
Maf,Unknown,Unknown
Mafa,Euchromatin,Euchromatin
Mafb,Euchromatin,Unknown
Maff,Euchromatin,Euchromatin
Mafg,Euchromatin,Euchromatin
Mafk,Euchromatin,Euchromatin
Maged2,Unknown,Unknown
Magoh,Unknown,Unknown
Mak,Unknown,Unknown
Malat1,Euchromatin,Euchromatin
Malsu1,Unknown,Unknown
Malt1,Unknown,Unknown
Maml1,Euchromatin,Euchromatin
Mamld1,Unknown,Unknown
Man1b1,Euchromatin,Euchromatin
Man1c1,Euchromatin,Euchromatin
Man2b2,Euchromatin,Euchromatin
Man2c1,Euchromatin,Unknown
Manbal,Euchromatin,Unknown
Manf,Unknown,Unknown
Map10,Euchromatin,Unknown
Map1a,Unknown,Unknown
Map2k1,Unknown,Euchromatin
Map2k2,Euchromatin,Euchromatin
Map2k7,Euchromatin,Euchromatin
Map3k10,Euchromatin,Euchromatin
Map3k12,Unknown,Unknown
Map3k14,Euchromatin,Unknown
Map3k2,Unknown,Unknown
Map3k3,Euchromatin,Euchromatin
Map3k5,Unknown,Unknown
Map3k6,Euchromatin,Euchromatin
Map3k7,Heterochromatin,Heterochromatin
Map4,Unknown,Euchromatin
Mapk14,Euchromatin,Euchromatin
Mapk7,Euchromatin,Unknown
Mapk8,Heterochromatin,Heterochromatin
Mapk9,Unknown,Unknown
Mapkap1,Unknown,Unknown
Mapkbp1,Unknown,Unknown
Mapre1,Euchromatin,Unknown
Mapre2,Unknown,Unknown
Mapre3,Euchromatin,Unknown
Marchf2,Unknown,Euchromatin
Marchf3,Unknown,Unknown
Marchf4,Unknown,Unknown
Marchf8,Unknown,Unknown
Marchf9,Euchromatin,Euchromatin
Marf1,Unknown,Unknown
Mark4,Euchromatin,Euchromatin
Mars1,Euchromatin,Euchromatin
Marveld3,Euchromatin,Unknown
Mast3,Euchromatin,Euchromatin
Mastl,Heterochromatin,Heterochromatin
Mat2a,Unknown,Unknown
Matcap2,Unknown,Unknown
Matn4,Euchromatin,Euchromatin
Max,Unknown,Unknown
Maz,Euchromatin,Euchromatin
Mbd1,Euchromatin,Unknown
Mbd3,Euchromatin,Euchromatin
Mbd4,Euchromatin,Unknown
Mbd6,Euchromatin,Euchromatin
Mbip,Unknown,Unknown
Mbtd1,Unknown,Unknown
Mbtps2,Unknown,Unknown
Mccc2,Unknown,Unknown
Mcl1,Euchromatin,Euchromatin
Mcm10,Euchromatin,Unknown
Mcm2,Euchromatin,Euchromatin
Mcm3,Euchromatin,Unknown
Mcm4,Unknown,Unknown
Mcm5,Euchromatin,Unknown
Mcm9,Unknown,Heterochromatin
Mcmbp,Unknown,Unknown
Mcoln1,Euchromatin,Euchromatin
Mcph1,Unknown,Unknown
Mcrs1,Euchromatin,Euchromatin
Mcts2,Euchromatin,Unknown
Mdc1,Euchromatin,Euchromatin
Mdh1,Unknown,Unknown
Mdh2,Euchromatin,Euchromatin
Mdm1,Unknown,Unknown
Mdm2,Euchromatin,Euchromatin
Mdm4,Euchromatin,Euchromatin
Me2,Unknown,Unknown
Mea1,Euchromatin,Euchromatin
Mecp2,Unknown,Unknown
Med1,Unknown,Unknown
Med11,Euchromatin,Unknown
Med13,Unknown,Unknown
Med14,Unknown,Unknown
Med16,Euchromatin,Euchromatin
Med23,Unknown,Unknown
Med25,Euchromatin,Euchromatin
Med26,Euchromatin,Euchromatin
Med27,Euchromatin,Unknown
Med28,Unknown,Unknown
Med31,Unknown,Unknown
Med4,Unknown,Unknown
Med6,Unknown,Unknown
Mef2a,Unknown,Heterochromatin
Mef2bl,Unknown,Unknown
Mef2d,Euchromatin,Unknown
Megf10,Unknown,Unknown
Meiob,Unknown,Unknown
Meis3,Euchromatin,Euchromatin
Mepce,Euchromatin,Unknown
Mesd,Unknown,Unknown
Mest,Unknown,Unknown
Metap1,Unknown,Unknown
Metrn,Euchromatin,Euchromatin
Mettl16,Unknown,Unknown
Mettl17,Euchromatin,Unknown
Mettl2,Unknown,Unknown
Mettl25b,Unknown,Unknown
Mettl4,Unknown,Unknown
Mettl8,Unknown,Unknown
Mettl9,Unknown,Unknown
Mex3c,Unknown,Unknown
Mfn2,Euchromatin,Euchromatin
Mfsd1,Unknown,Unknown
Mfsd14a,Unknown,Unknown
Mfsd2a,Euchromatin,Unknown
Mfsd9,Unknown,Unknown
Mgat1,Unknown,Unknown
Mgat4b,Euchromatin,Unknown
Mgmt,Unknown,Unknown
Mia2,Unknown,Euchromatin
Mia3,Unknown,Unknown
Mib1,Unknown,Unknown
Mib2,Euchromatin,Euchromatin
Mical2,Euchromatin,Unknown
Mical3,Euchromatin,Unknown
Micos10,Euchromatin,Euchromatin
Micos13,Euchromatin,Euchromatin
Micu1,Unknown,Unknown
Mid1ip1,Unknown,Unknown
Mid2,Unknown,Unknown
Mideas,Unknown,Unknown
Midn,Euchromatin,Euchromatin
Mief1,Euchromatin,Euchromatin
Mief2,Euchromatin,Euchromatin
Mien1,Euchromatin,Euchromatin
Miga2,Euchromatin,Euchromatin
Miip,Euchromatin,Euchromatin
Mink1,Euchromatin,Euchromatin
Mir100hg,Unknown,Unknown
Mir129b,Unknown,Unknown
Mir132,Euchromatin,Euchromatin
Mir17,Unknown,Heterochromatin
Mir1905,Euchromatin,Euchromatin
Mir1938,Unknown,Unknown
Mir1945,Unknown,Unknown
Mir1953,Euchromatin,Unknown
Mir203,Euchromatin,Euchromatin
Mir2139,Euchromatin,Euchromatin
Mir22hg,Euchromatin,Euchromatin
Mir2861,Euchromatin,Euchromatin
Mir3081,Unknown,Unknown
Mir3083,Euchromatin,Euchromatin
Mir3091,Euchromatin,Euchromatin
Mir3093,Euchromatin,Unknown
Mir5133,Unknown,Unknown
Mir5620,Euchromatin,Euchromatin
Mir5627,Unknown,Unknown
Mir6359,Heterochromatin,Unknown
Mir6991,Euchromatin,Euchromatin
Mir7000,Euchromatin,Euchromatin
Mir7648,Heterochromatin,Unknown
Mir7653,Euchromatin,Euchromatin
Mir7655,Unknown,Unknown
Mir7672,Unknown,Unknown
Mir8092,Unknown,Unknown
Mir8098,Unknown,Unknown
Mir8105,Euchromatin,Euchromatin
Mir8109,Heterochromatin,Unknown
Mir8112,Unknown,Unknown
Mir8114,Unknown,Unknown
Mir9-2hg,Unknown,Unknown
Mir92b,Euchromatin,Euchromatin
Misp,Euchromatin,Euchromatin
Mix23,Unknown,Unknown
Mkks,Unknown,Unknown
Mknk2,Euchromatin,Euchromatin
Mkrn1,Euchromatin,Euchromatin
Mks1,Euchromatin,Unknown
Mlec,Euchromatin,Euchromatin
Mlf1,Heterochromatin,Heterochromatin
Mlf2,Euchromatin,Euchromatin
Mlh1,Unknown,Unknown
Mllt1,Euchromatin,Euchromatin
Mllt10,Unknown,Unknown
Mllt11,Euchromatin,Unknown
Mllt3,Unknown,Unknown
Mlst8,Euchromatin,Unknown
Mlxip,Euchromatin,Euchromatin
Mlxipl,Euchromatin,Euchromatin
Mmadhc,Unknown,Heterochromatin
Mmd,Unknown,Unknown
Mmgt1,Unknown,Unknown
Mmp11,Euchromatin,Euchromatin
Mmp16,Heterochromatin,Unknown
Mmp2,Unknown,Unknown
Mmut,Heterochromatin,Heterochromatin
Mn1,Euchromatin,Euchromatin
Mnd1,Unknown,Unknown
Mns1,Unknown,Unknown
Mnt,Euchromatin,Unknown
Mob1b,Unknown,Unknown
Mob3a,Euchromatin,Euchromatin
Mocos,Euchromatin,Unknown
Mocs2,Unknown,Unknown
Mon1b,Unknown,Unknown
Mon2,Unknown,Unknown
Morc3,Euchromatin,Euchromatin
Morf4l1,Unknown,Unknown
Mov10l1,Euchromatin,Unknown
Mpc1,Euchromatin,Unknown
Mpc2,Unknown,Heterochromatin
Mpg,Euchromatin,Euchromatin
Mphosph10,Unknown,Unknown
Mphosph6,Unknown,Unknown
Mphosph8,Unknown,Unknown
Mphosph9,Euchromatin,Unknown
Mpp2,Euchromatin,Euchromatin
Mpp7,Unknown,Unknown
Mppe1,Unknown,Unknown
Mpst,Euchromatin,Unknown
Mpv17l,Unknown,Unknown
Mpv17l2,Euchromatin,Euchromatin
Mpzl3,Unknown,Unknown
Mre11a,Unknown,Unknown
Mrgbp,Euchromatin,Euchromatin
Mrm1,Euchromatin,Unknown
Mrnip,Euchromatin,Unknown
Mroh1,Euchromatin,Euchromatin
Mrpl15,Unknown,Unknown
Mrpl17,Unknown,Unknown
Mrpl19,Euchromatin,Unknown
Mrpl20,Euchromatin,Unknown
Mrpl22,Euchromatin,Unknown
Mrpl23,Euchromatin,Unknown
Mrpl28,Euchromatin,Euchromatin
Mrpl30,Unknown,Unknown
Mrpl33,Euchromatin,Unknown
Mrpl34,Euchromatin,Euchromatin
Mrpl41,Euchromatin,Euchromatin
Mrpl45,Euchromatin,Euchromatin
Mrpl51,Euchromatin,Euchromatin
Mrpl58,Euchromatin,Euchromatin
Mrpl9,Unknown,Unknown
Mrps14,Unknown,Unknown
Mrps2,Euchromatin,Euchromatin
Mrps24,Euchromatin,Euchromatin
Mrps27,Euchromatin,Unknown
Mrps28,Unknown,Unknown
Mrps36,Unknown,Euchromatin
Mrrf,Unknown,Unknown
Mrtfa,Unknown,Unknown
Msh5,Euchromatin,Euchromatin
Msmo1,Unknown,Unknown
Msra,Unknown,Unknown
Msx1,Euchromatin,Unknown
Mt1,Euchromatin,Unknown
Mt2,Euchromatin,Unknown
Mtf1,Euchromatin,Unknown
Mtf2,Unknown,Unknown
Mtfp1,Euchromatin,Unknown
Mtg1,Euchromatin,Unknown
Mtg2,Euchromatin,Euchromatin
Mthfd1,Euchromatin,Unknown
Mthfd2,Unknown,Unknown
Mthfr,Euchromatin,Euchromatin
Mthfsd,Euchromatin,Euchromatin
Mtif2,Unknown,Unknown
Mtln,Unknown,Unknown
Mtmr10,Unknown,Unknown
Mtmr12,Euchromatin,Unknown
Mtmr14,Unknown,Unknown
Mtmr2,Unknown,Euchromatin
Mtmr4,Euchromatin,Unknown
Mtmr6,Unknown,Unknown
Mtor,Euchromatin,Euchromatin
Mtpap,Unknown,Unknown
Mtpn,Heterochromatin,Unknown
Mtr,Unknown,Unknown
Mtrf1l,Unknown,Unknown
Mtss2,Euchromatin,Euchromatin
Mturn,Euchromatin,Unknown
Mtus2,Unknown,Unknown
Mul1,Euchromatin,Euchromatin
Mvb12a,Euchromatin,Euchromatin
Mvd,Euchromatin,Euchromatin
Mvk,Euchromatin,Euchromatin
Mxd1,Euchromatin,Unknown
Mxd3,Euchromatin,Euchromatin
Mxd4,Unknown,Unknown
Mxi1,Euchromatin,Unknown
Mybbp1a,Euchromatin,Euchromatin
Mybpc3,Euchromatin,Euchromatin
Myc,Unknown,Unknown
Mycbp,Unknown,Unknown
Mycn,Unknown,Unknown
Myg1,Euchromatin,Euchromatin
Myh10,Unknown,Unknown
Myh14,Euchromatin,Euchromatin
Myh9,Euchromatin,Unknown
Myl4,Euchromatin,Unknown
Mynn,Unknown,Unknown
Myo10,Unknown,Unknown
Myo1d,Unknown,Unknown
Myo9a,Euchromatin,Unknown
Myo9b,Euchromatin,Unknown
Myocd,Unknown,Unknown
Myom1,Unknown,Unknown
Mypop,Euchromatin,Euchromatin
Mzb1,Euchromatin,Euchromatin
Mzf1,Unknown,Euchromatin
Mzt1,Unknown,Unknown
N4bp2l1,Euchromatin,Unknown
N4bp2l2,Unknown,Unknown
Naa25,Euchromatin,Euchromatin
Naa40,Euchromatin,Euchromatin
Naaa,Euchromatin,Unknown
Nab2,Euchromatin,Euchromatin
Nabp1,Unknown,Unknown
Nabp2,Euchromatin,Unknown
Naca,Unknown,Euchromatin
